Tỉnh/Thành,Tên đơn vị,Vĩ độ,Kinh độ
Sơn La,Phường Chiềng An,21.3843192,103.8947303
Sơn La,Phường Chiềng Cơi,21.2979223,103.8718261
Sơn La,Phường Chiềng Sinh,21.3082751,103.9689545
Sơn La,Phường Mộc Châu,20.8659974,104.5812291
Sơn La,Phường Mộc Sơn,20.8077481,104.645168
Sơn La,Phường Thảo Nguyên,20.8561688,104.6831199
Sơn La,Phường Tô Hiệu,21.3264066,103.9245159
Sơn La,Phường Vân Sơn,20.8738578,104.7175991
Sơn La,Xã Bình Thuận,21.5547506,103.5946748
Sơn La,Xã Bó Sinh,21.2586759,103.4690222
Sơn La,Xã Bắc Yên,21.1881248,104.4525383
Sơn La,Xã Chiềng Hoa,21.4644528,104.2032769
Sơn La,Xã Chiềng Hặc,20.9789294,104.4247114
Sơn La,Xã Chiềng Khoong,20.9644877,103.7542135
Sơn La,Xã Chiềng Khương,20.9617385,104.0034565
Sơn La,Xã Chiềng La,21.4667519,103.7648093
Sơn La,Xã Chiềng Lao,21.6424253,103.9455166
Sơn La,Xã Chiềng Mai,21.1895167,103.9806101
Sơn La,Xã Chiềng Mung,21.2776613,104.04665
Sơn La,Xã Chiềng Sung,21.3090023,104.1308055
Sơn La,Xã Chiềng Sơ,21.1318906,103.6027982
Sơn La,Xã Chiềng Sơn,20.7406682,104.6636903
Sơn La,Xã Chiềng Sại,21.0709876,104.4585041
Sơn La,Xã Co Mạ,21.3050972,103.5291535
Sơn La,Xã Gia Phù,21.1792752,104.5565002
Sơn La,Xã Huổi Một,21.0330011,103.6464248
Sơn La,Xã Kim Bon,21.1097012,104.5843358
Sơn La,Xã Long Hẹ,21.4468137,103.5056825
Sơn La,Xã Lóng Phiêng,20.8831852,104.3866877
Sơn La,Xã Lóng Sập,20.7923609,104.5081135
Sơn La,Xã Mai Sơn,21.1461691,104.1579881
Sơn La,Xã Muổi Nọi,21.3002463,103.7958752
Sơn La,Xã Mường Bang,21.1668099,104.7923731
Sơn La,Xã Mường Bám,21.3762412,103.3881955
Sơn La,Xã Mường Bú,21.4022962,104.0369309
Sơn La,Xã Mường Chanh,21.2196758,103.8750959
Sơn La,Xã Mường Chiên,21.9190464,103.585548
Sơn La,Xã Mường Cơi,21.306359,104.7642894
Sơn La,Xã Mường Giôn,21.7493341,103.6810802
Sơn La,Xã Mường Hung,20.9608343,103.8760526
Sơn La,Xã Mường Khiêng,21.4897587,103.8900194
Sơn La,Xã Mường La,21.5337988,104.0509642
Sơn La,Xã Mường Lèo,20.8993767,103.3584772
Sơn La,Xã Mường Lạn,20.7678163,103.7077185
Sơn La,Xã Mường Lầm,21.1400651,103.4654588
Sơn La,Xã Mường Sại,21.5983551,103.7347784
Sơn La,Xã Mường É,21.4989745,103.5572825
Sơn La,Xã Ngọc Chiến,21.6108857,104.2018827
Sơn La,Xã Nậm Lầu,21.3691624,103.6700998
Sơn La,Xã Nậm Ty,21.2231435,103.661309
Sơn La,Xã Phiêng Cằm,21.1523391,103.8352448
Sơn La,Xã Phiêng Khoài,20.9565318,104.2934043
Sơn La,Xã Phiêng Pằn,21.0541959,104.0421666
Sơn La,Xã Phù Yên,21.2673711,104.660889
Sơn La,Xã Púng Bánh,21.0040913,103.4717152
Sơn La,Xã Pắc Ngà,21.2997152,104.2304359
Sơn La,Xã Quỳnh Nhai,21.6334987,103.6169539
Sơn La,Xã Song Khủa,20.9219991,104.8985488
Sơn La,Xã Suối Tọ,21.3222065,104.5994723
Sơn La,Xã Sông Mã,21.0899123,103.7362567
Sơn La,Xã Sốp Cộp,20.8688576,103.5716964
Sơn La,Xã Thuận Châu,21.437294,103.7096298
Sơn La,Xã Tà Hộc,21.244819,104.2176684
Sơn La,Xã Tà Xùa,21.3270227,104.4930825
Sơn La,Xã Tân Phong,21.0773329,104.7404428
Sơn La,Xã Tân Yên,20.9794205,104.5887787
Sơn La,Xã Tô Múa,20.9246354,104.8164678
Sơn La,Xã Tường Hạ,21.1409416,104.6725859
Sơn La,Xã Tạ Khoa,21.1644534,104.3308062
Sơn La,Xã Vân Hồ,20.7958205,104.847011
Sơn La,Xã Xuân Nha,20.6668974,104.7393939
Sơn La,Xã Xím Vàng,21.3559709,104.3258146
Sơn La,Xã Yên Châu,21.0807033,104.2943233
Sơn La,Xã Yên Sơn,21.0091578,104.1858725
Sơn La,Xã Đoàn Kết,20.9662944,104.7237511
